Points_m_XYZ:0	Points_m_XYZ:1	Points_m_XYZ:2	X	Y	Z	intensity	laser_id	azimuth	distance_m	adjustedtime	timestamp	vertical_angle	dual_distance	dual_intensity	dual_return_matching
0.074488595	9.699541092	-2.599060774	0.074488593	9.699541131	-2.599060851	18	0	44	10.042	61646729	61646729	-15	0	0	-1
0.065630436	8.174490929	0.142690882	0.065630433	8.174491297	0.142690875	29	1	46	8.176	61646731	61646731	1	0	0	-1
0.114088006	13.90769005	-3.210951328	0.114088003	13.90769037	-3.21095135	7	2	47	14.274	61646734	61646734	-13	0	0	-1
0.183718696	21.48173332	1.125851035	0.183718694	21.48173296	1.125851091	15	3	49	21.512	61646736	61646736	3	0	0	-1
0.140167356	15.74663925	-3.060957909	0.140167361	15.74663945	-3.060957904	6	4	51	16.042	61646738	61646738	-11	0	0	-1
0.195413306	21.53086472	1.883784175	0.195413302	21.53086544	1.883784224	28	5	52	21.614	61646740	61646740	5	0	0	-1
0.168578848	17.88624191	-2.833028078	0.168578846	17.88624143	-2.833028162	11	6	54	18.11	61646743	61646743	-9	0	0	-1
0.209906697	21.47568703	2.637008905	0.209906703	21.47568782	2.637008853	25	7	56	21.638	61646745	61646745	7	0	0	-1
0.177436858	17.83517265	-2.189992189	0.177436861	17.83517173	-2.189992101	6	8	57	17.97	61646747	61646747	-7	0	0	-1
0.220719844	21.43367577	3.394940853	0.220719849	21.43367593	3.39494076	29	9	59	21.702	61646750	61646750	9	0	0	-1
0.226018324	21.58237076	-1.888316274	0.226018321	21.58237089	-1.888316322	6	10	60	21.666	61646752	61646752	-5	0	0	-1
0.231283888	21.37269974	4.154675007	0.231283886	21.37269891	4.154675065	25	11	62	21.774	61646754	61646754	11	0	0	-1
0.242074728	21.33733177	4.926428318	0.24207473	21.33733128	4.92642809	25	13	65	21.9	61646759	61646759	13	0	0	-1
0.251370668	21.49525642	-0.375226736	0.251370658	21.4952557	-0.375226738	10	14	67	21.5	61646761	61646761	-1	0	0	-1
0.256163061	21.27007675	5.69971323	0.256163057	21.27007607	5.699713011	26	15	69	22.022	61646764	61646764	15	0	0	-1
0.140304267	9.569364548	-2.564379215	0.140304265	9.569364584	-2.564379099	119	0	84	9.908	61646784	61646784	-15	0	0	-1
0.211237609	13.91045189	-3.21185112	0.211237608	13.910452	-3.211851154	7	2	87	14.278	61646789	61646789	-13	1	1	31
0.329812139	21.47199631	1.125432372	0.329812129	21.47199669	1.125432403	13	3	88	21.504	61646791	61646791	3	0	0	-1
0.247162238	15.73354244	-3.058668137	0.247162236	15.7335425	-3.058668196	6	4	90	16.03	61646793	61646793	-11	0	0	-1
0.34594506	21.54292107	1.885004401	0.345945049	21.54292145	1.885004404	28	5	92	21.628	61646796	61646796	5	0	0	-1
0.290546209	17.89850616	-2.835218191	0.290546218	17.89850542	-2.835218244	11	6	93	18.124	61646798	61646798	-9	0	0	-1
0.356146902	21.4777317	2.637496233	0.356146906	21.47773118	2.63749633	25	7	95	21.642	61646800	61646800	7	0	0	-1
0.301810086	17.82555962	-2.189017057	0.301810092	17.82555914	-2.189017146	6	8	97	17.962	61646803	61646803	-7	0	0	-1
0.366574228	21.42970276	3.39462781	0.366574228	21.42970193	3.394627891	25	9	98	21.7	61646805	61646805	9	0	0	-1
0.376754493	21.5842514	-1.888664961	0.376754506	21.58425122	-1.888664945	7	10	100	21.67	61646807	61646807	-5	0	0	-1
0.380731255	21.38430405	4.157346249	0.380731266	21.38430403	4.157346391	25	11	102	21.788	61646810	61646810	11	0	0	-1
0.155314535	8.638746262	-0.452810705	0.155314541	8.638746661	-0.452810693	36	12	103	8.652	61646812	61646812	-3	0	0	-1
0.390851736	21.32537842	4.9241786	0.390851742	21.32537925	4.92417858	25	13	105	21.89	61646814	61646814	13	0	0	-1
0.401391178	21.49097824	-0.375191838	0.401391165	21.49097765	-0.375191834	12	14	107	21.498	61646817	61646817	-1	0	0	-1
0.401155293	21.27942848	5.702818871	0.401155294	21.27942874	5.70281884	26	15	108	22.034	61646819	61646819	15	0	0	-1
0.090753555	8.124342918	-0.42580533	0.090753557	8.124343026	-0.42580534	9	12	64	8.136	61646757	61646757	-3	0	0	-1
0.152207062	10.0231638	-2.314296484	0.152207068	10.02316362	-2.314296447	1	2	87	10.288	61646789	61646789	-13	-1	-1	16
0.212165594	9.801851273	-2.627013206	0.2121656	9.801851194	-2.627013308	33	0	124	10.15	61646839	61646839	-15	0	0	-1
0.185342208	8.426677704	0.147123784	0.185342208	8.426678044	0.147123786	6	1	126	8.43	61646841	61646841	1	0	0	-1
0.308042616	13.89500046	-3.208701849	0.308042606	13.89500048	-3.208701839	8	2	127	14.264	61646844	61646844	-13	1	1	63
0.484307081	21.50702477	1.127421141	0.484307075	21.50702518	1.127421169	6	3	129	21.542	61646846	61646846	3	1	1	64
0.359158337	15.70585537	-3.053707123	0.35915833	15.7058554	-3.053707162	7	4	131	16.004	61646848	61646848	-11	0	0	-1
0.496195674	21.53400612	1.88448143	0.496195669	21.53400575	1.88448147	28	5	132	21.622	61646851	61646851	5	0	0	-1
0.41884768	17.90584183	-2.836782694	0.418847678	17.90584226	-2.836782589	8	6	134	18.134	61646853	61646853	-9	0	0	-1
0.510110557	21.48653984	2.638958693	0.510110585	21.48653997	2.638958762	25	7	136	21.654	61646855	61646855	7	0	0	-1
0.426627308	17.83889389	-2.190967083	0.426627294	17.83889393	-2.190967056	12	8	137	17.978	61646857	61646857	-7	0	0	-1
0.519911289	21.42653084	3.39462781	0.519911265	21.42653014	3.394627891	29	9	139	21.7	61646860	61646860	9	0	0	-1
0.527625322	21.58906174	-1.889362216	0.527625315	21.58906219	-1.889362191	7	10	140	21.678	61646862	61646862	-5	0	0	-1
0.530011356	21.3811245	4.157346249	0.53001138	21.38112492	4.157346391	23	11	142	21.788	61646864	61646864	11	0	0	-1
0.221193105	8.79914093	-0.461289108	0.221193108	8.799140978	-0.461289118	13	12	144	8.814	61646867	61646867	-3	0	0	-1
0.540065408	21.33576775	4.92732811	0.540065425	21.33576774	4.927327894	25	13	145	21.904	61646869	61646869	13	0	0	-1
0.551210284	21.47965622	-0.375052214	0.551210296	21.47965556	-0.375052214	15	14	147	21.49	61646871	61646871	-1	0	0	-1
0.553416133	21.27601242	5.702818871	0.553416123	21.27601335	5.70281884	32	15	149	22.034	61646874	61646874	15	0	0	-1
0.263671398	9.209226608	-2.468616009	0.263671389	9.209226688	-2.468616052	19	0	164	9.538	61646894	61646894	-15	0	0	-1
0.618284762	21.46382523	0.374807894	0.618284739	21.46382582	0.374807881	7	1	165	21.476	61646897	61646897	1	1	-1	65
0.404642165	13.87887573	-3.205552578	0.404642171	13.87887595	-3.205552524	6	2	167	14.25	61646899	61646899	-13	0	0	-1
0.631625295	21.53517342	1.129095912	0.631625271	21.53517281	1.12909592	2	3	168	21.574	61646901	61646901	3	1	-1	66
0.465880811	15.69715977	-3.052562237	0.465880824	15.69715969	-3.052562308	6	4	170	15.998	61646904	61646904	-11	0	0	-1
0.646817088	21.53997421	1.885352969	0.646817086	21.53997436	1.885353027	28	5	172	21.632	61646906	61646906	5	0	0	-1
0.540897131	17.90850067	-2.837721109	0.540897144	17.9084999	-2.837721196	6	6	173	18.14	61646908	61646908	-9	0	0	-1
0.657079339	21.50638008	2.641883612	0.657079338	21.50638002	2.641883626	25	7	175	21.678	61646910	61646910	7	0	0	-1
0.551400125	17.84341812	-2.191941977	0.551400116	17.84341739	-2.19194201	8	8	177	17.986	61646913	61646913	-7	0	0	-1
0.666357458	21.44223976	3.397756577	0.666357447	21.44223911	3.397756581	25	9	178	21.72	61646915	61646915	9	0	0	-1
0.677955806	21.57290459	-1.888316274	0.677955825	21.57290415	-1.888316322	7	10	180	21.666	61646917	61646917	-5	0	0	-1
